N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
138.0,8.3,454.0,7.65,0.58,1.03,14.0,0.25,1.05,1.19,2.16,1.0367368849500223,1.7716,0.0
82.0,7.9,496.0,7.37,0.51,1.06,11.0,0.2,1.03,1.04,2.35,0.598836501088704,1.8232,1.0
107.0,8.3,612.0,7.43,0.43,0.75,7.2,0.18,0.95,0.89,2.16,0.74,1.29,0.0
3.6375861597263857,7.0,370.0,7.57,0.42,1.08,14.0,0.18,0.86,1.04,2.0,0.8020015854720274,1.8576,1.0
88.0,7.2,655.0,7.46,0.44,1.0,13.1,0.18,0.78,1.03,2.27,0.6626879730752367,1.72,2.0
2.9444389791664403,5.3,708.0,7.38,0.29,1.06,12.8,0.17,0.76,0.92,2.88,0.7929925155296614,1.8232,0.0
56.0,7.7,444.0,7.32,0.67,0.83,11.2,0.23,0.95,0.88,2.65,0.598836501088704,1.4276,0.0
50.0,8.3,475.0,7.36,0.34,0.83,11.6,0.43,0.59,0.89,2.2,0.27763173659827955,1.4276,1.0
3.6375861597263857,7.5,454.0,7.4,0.48,0.92,8.8,0.3,1.29,1.71,4.99,0.9516578757114463,1.5824,0.0
3.2188758248682006,8.1,591.0,7.33,0.43,0.78,14.0,0.46,0.35,1.74,2.38,0.8285518175661483,1.3416,0.0
82.0,7.2,507.0,7.63,0.44,0.61,3.3032169733019514,0.56,0.35,1.6,2.66,1.0367368849500223,1.0492,1.0
88.0,7.7,708.0,7.52,0.37,0.78,3.044522437723423,0.19,0.74,1.43,2.42,0.8285518175661483,1.3416,0.0
144.0,7.2,623.0,7.57,0.54,0.92,3.126760535960395,0.37,0.51,1.69,6.0,0.8153648132841944,1.5824,0.0
213.0,8.6,718.0,7.59,0.68,0.86,3.1354942159291497,0.3,0.46,1.53,9.53,1.0367368849500223,1.4792,1.0
282.0,5.7,454.0,7.48,0.46,0.81,2.772588722239781,0.32,0.5,1.34,3.7,0.9042181506398859,1.3932,1.0
264.0,9.4,475.0,7.52,0.43,0.78,14.8,0.27,0.61,1.41,2.88,0.8796267475025636,1.3416,1.0
301.0,7.0,507.0,7.46,0.42,0.69,3.1354942159291497,0.23,0.46,1.02,2.71,0.5364933705145685,1.1868,1.0
226.0,7.5,348.0,7.62,0.31,0.75,11.3,-0.2484613592984996,0.4,1.04,2.43,0.25464221837358075,1.29,0.0
307.0,5.0,327.0,7.58,0.56,0.61,11.6,0.46,0.68,1.14,2.79,0.20701416938432612,1.0492,1.0
326.0,5.9,517.0,7.41,0.32,0.81,3.246490991901174,0.5,0.65,1.16,2.27,0.30010459245033816,1.3932,1.0
251.0,5.0,391.0,7.59,0.62,0.89,11.7,0.56,0.64,1.03,7.75,0.3220834991691132,1.5308,1.0
213.0,4.8,444.0,7.55,0.47,0.75,11.8,0.63,0.5,1.02,7.71,0.4252677354043441,1.29,0.0
195.0,5.5,507.0,7.57,0.37,0.69,11.0,0.28,0.48,0.91,1.89,0.5007752879124892,1.1868,0.0
3.4339872044851463,5.9,581.0,7.33,0.71,0.83,11.2,0.37,0.54,1.13,1.99,0.4637340162321402,1.4276,0.0
69.0,6.8,465.0,7.51,0.46,0.78,11.7,0.32,0.49,1.06,2.1,0.4252677354043441,1.3416,0.0
182.0,7.5,391.0,7.57,0.53,0.78,11.8,0.37,0.53,1.02,7.77,0.27763173659827955,1.3416,0.0
2.9444389791664403,6.4,454.0,7.49,0.6,0.61,10.4,0.48,0.63,0.86,2.0,0.25464221837358075,1.0492,0.0
132.0,5.5,655.0,7.31,0.71,0.67,11.0,0.38,1.07,1.71,4.43,0.8796267475025636,1.1524,0.0
163.0,7.7,517.0,7.32,0.49,0.75,12.6,0.35,3.42,1.6,10.61,0.6931471805599453,1.29,0.0
182.0,8.1,507.0,7.23,0.73,0.81,10.2,0.37,2.19,1.52,2.75,0.7227059828014898,1.3932,0.0
295.0,5.5,433.0,7.34,0.46,0.75,13.6,0.42,0.6,1.22,2.53,0.8153648132841944,1.29,1.0
201.0,5.7,253.0,7.51,0.63,0.83,3.2,0.44,0.77,1.16,3.76,0.7514160886839212,1.4276,0.0
1.791759469228055,5.0,465.0,7.47,0.42,0.81,14.5,0.48,0.5,1.21,2.62,0.8544153281560676,1.3932,0.0
56.0,6.6,401.0,7.46,0.57,0.89,9.0,0.47,0.64,1.18,3.66,0.7793248768009977,1.5308,0.0
132.0,8.3,444.0,7.62,0.43,0.75,13.0,0.45,1.2,1.25,2.76,0.9745596399981308,1.29,0.0
69.0,8.1,338.0,7.5,0.63,0.78,8.4,0.37,2.12,1.03,2.84,0.8153648132841944,1.3416,0.0
270.0,7.0,391.0,7.4,0.61,0.67,3.299533727885655,0.42,1.18,1.04,2.76,0.4824261492442928,1.1524,1.0
326.0,7.5,401.0,7.3,0.23,0.56,3.258096538021482,0.52,2.08,1.68,3.43,0.7514160886839212,0.9632,1.0
351.0,8.6,454.0,7.5,0.38,0.72,2.970414465569701,0.48,2.06,1.26,2.77,0.6151856390902335,1.2384,1.0
2.5649493574615367,8.3,644.0,7.5,0.71,0.67,13.9,0.45,1.06,1.05,3.63,0.8285518175661483,1.1524,0.0
314.0,8.1,454.0,7.4,0.59,0.75,3.173878458937465,0.36,0.59,1.25,2.76,0.7929925155296614,1.29,1.0
